Location,state,county,community,communityname,lat,lng,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumIlleg,PctIlleg,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,RentLowQ,RentMedian,RentHighQ,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,ViolentCrimesPerPop
"Canton, Massachusetts",25,21,11315,Cantontown,42.158333,-71.145278,3,0.01,0.52,0.02,0.96,0.07,0.01,0.38,0.47,0.32,0.45,0.03,0.91,0.69,0.71,0.33,0.64,0.49,0.16,0.58,0.71,0.58,0.56,0.56,0,0.87,0.57,0.45,0,0.05,0.11,0.15,0.53,0.29,0.6,0.33,0.48,0.13,0.62,0.18,0.5,0.21,0.21,0.6,0.85,0.86,0.92,0.82,0.64,0.65,0,0.06,0.01,0,0.09,0.1,0.12,0,0.03,0.03,0.03,0.91,0.05,0.31,0.3,0.55,0.65,0.23,0.79,0.03,0.36,0.5,0.01,0.92,0.71,0.41,0.44,0.48,0,0,0.54,0.53,0.55,0.31,0.6,0.68,0.62,0.35,0.39,0.37,0,0,0.15,0.87,0.85,0.8,0.87,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.05,0.08,0.51,?,?,?,?,0,?,0.05
"Union City, New Jersey",34,17,74630,UnionCitycity,40.7795455,-74.0237512,3,0.08,0.52,0.1,0.62,0.13,1,0.4,0.55,0.35,0.31,0.09,1,0.23,0.57,0.15,0.24,0.35,0.64,0.24,0.2,0.2,0.2,0.28,0.27,0.31,0.29,0.36,0.1,0.48,0.98,0.88,0.15,0.74,0.47,0.69,0.13,1,0.17,0.62,0.6,0.75,0.72,0.6,0.33,0.36,0.38,0.32,0.35,0.29,0.07,0.65,0.21,0.34,0.42,0.48,0.57,1,1,1,1,0,1,0.46,0.42,0.57,0.55,0.61,0,0.78,0.9,0,0.1,0.64,0,0.18,0.45,0.02,0.7,1,0.33,0.37,0.37,0.36,0.4,0.48,0.39,0.56,0.91,0.4,0.11,0.06,1,0.19,0.59,0.67,0.48,0.02,0.28,0.97,0.32,0.03,0.21,0.25,0.28,0.96,0.62,0.05,0.57,0,0.39,0.03,0.36,0.12,0,1,1,0.03,0.04,0.72,0,0.51,0.33,0.36
"Santa Fe Springs, California",6,?,?,SantaFeSpringscity,33.9472359,-118.0853451,3,0.01,0.79,0.04,0.34,0.3,1,0.49,0.54,0.37,0.39,0.02,1,0.36,0.6,0.06,0.18,0.59,0.85,0.59,0.34,0.21,0.23,0.27,0.18,0.32,0.28,0.34,0.01,0.27,0.49,0.72,0.09,0.57,0.42,0.66,0.22,0.69,0.17,0.46,0.51,0.61,0.57,0.92,0.56,0.44,0.6,0.4,0.41,0.33,0.02,0.44,0.02,0.4,0.43,0.41,0.52,0.67,0.63,0.55,0.64,0.08,0.67,0.96,0.96,0.87,0.89,0.78,0.59,0.87,0.59,0,0.01,0.89,0.58,0.05,0.15,0.4,0.16,0.19,0.46,0.43,0.37,0.46,0.55,0.63,0.54,0.63,0.56,0.15,0,0,0.71,0.56,0.67,0.89,0.83,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.02,0.15,0.15,?,?,?,?,0,?,0.86
"South Riverborough, New Jersey",34,23,69420,SouthRiverborough,39.9563643,-74.136832,3,0.01,0.46,0.08,0.91,0.07,0.14,0.32,0.44,0.29,0.57,0.02,1,0.43,0.49,0.16,0.59,0.67,0.19,0.77,0.45,0.38,0.38,0.24,0,0.26,0.15,0.36,0.01,0.17,0.7,0.62,0.19,0.34,0.5,0.6,0.19,0.64,0.24,0.24,0.48,0.25,0.25,0.5,0.75,0.75,0.71,0.83,0.2,0.29,0,0.1,0.02,0.45,0.54,0.5,0.53,0.59,0.62,0.53,0.51,0.49,0.51,0.23,0.24,0.51,0.51,0.47,0.67,0.15,0.39,0.5,0.01,0.88,0.66,0.25,0.54,0.23,0.05,0.3,0.35,0.35,0.32,0.55,0.55,0.57,0.52,0.55,0.49,0.85,0,0,0.56,0.65,0.83,0.8,0.74,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.01,0.41,0.19,?,?,?,?,0,?,0.11
"Merrillville, Indiana",18,?,?,Merrillvilletown,41.4828144,-87.3328139,3,0.03,0.47,0.1,0.88,0.05,0.13,0.38,0.42,0.26,0.53,0.04,0.97,0.41,0.57,0.23,0.54,0.61,0.18,0.78,0.41,0.34,0.33,0.43,0.12,0.2,0.39,0.49,0.01,0.08,0.26,0.33,0.23,0.22,0.49,0.54,0.29,0.43,0.33,0.34,0.32,0.28,0.32,0.5,0.8,0.79,0.91,0.71,0.32,0.39,0.01,0.1,0.01,0.03,0.05,0.05,0.06,0.01,0.02,0.02,0.02,0.77,0.1,0.23,0.23,0.51,0.6,0.23,0.77,0.08,0.33,0.5,0.01,0.91,0.7,0.02,0.28,0.58,0.06,0.12,0.13,0.11,0.09,0.43,0.41,0.43,0.42,0.49,0.12,0.29,0,0,0.2,0.66,0.71,0.85,0.75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.09,0.07,0.1,?,?,?,?,0,?,0.18
"West Des Moines, Iowa",19,?,?,WestDesMoinescity,41.5772115,-93.711332,3,0.03,0.33,0.03,0.95,0.09,0.03,0.31,0.51,0.29,0.31,0.05,1,0.48,0.76,0.63,0.72,0.29,0.09,0.31,0.53,0.56,0.55,0.33,0.21,0.42,0.36,0.39,0.01,0.07,0.04,0.06,0.68,0.12,0.75,0.15,0.49,0.09,0.71,0.38,0.34,0.43,0.43,0.4,0.82,0.86,0.89,0.74,0.63,0.66,0,0.03,0,0.14,0.21,0.51,0.48,0.02,0.02,0.05,0.04,0.94,0.02,0.11,0.1,0.35,0.49,0.15,0.63,0.03,0.5,0.5,0.04,0.81,0.54,0.21,0.17,0.77,0.04,0.11,0.19,0.19,0.21,0.46,0.41,0.44,0.41,0.28,0.35,0.37,0,0,0.05,0.66,0.26,0.43,0.45,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.05,0.15,0.09,?,?,?,?,0,?,0.06
"Cohoes, New York",36,1,16749,Cohoescity,42.7742446,-73.7001187,3,0.01,0.29,0.01,0.99,0.01,0.01,0.37,0.47,0.31,0.62,0.03,1,0.21,0.35,0.03,0.44,0.65,0.4,0.73,0.26,0.25,0.24,0.3,0.08,0.1,0.49,0.38,0.02,0.34,0.53,0.59,0.14,0.45,0.39,0.39,0.34,0.45,0.3,0.53,0.5,0.49,0.53,0.43,0.39,0.45,0.33,0.39,0.4,0.54,0.01,0.34,0.01,0.21,0.17,0.16,0.17,0.07,0.05,0.04,0.04,0.83,0.09,0.19,0.15,0.31,0.38,0.29,0.33,0.05,0.46,0.5,0.03,0.74,0.32,0.36,0.56,0,0.3,0.11,0.21,0.19,0.18,0.14,0.21,0.23,0.23,0.44,0.39,0.54,0,0,0.13,0.92,0.6,0.73,0.87,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.01,0.38,0.25,?,?,?,?,0,?,0.28
"Urbandale, Iowa",19,?,?,Urbandalecity,41.6266555,-93.7121656,3,0.02,0.42,0.02,0.96,0.09,0.01,0.33,0.45,0.25,0.22,0.04,1,0.51,0.83,0.68,0.76,0.23,0.09,0.34,0.52,0.48,0.47,0.54,0.05,0.38,0.16,0.24,0.01,0.06,0.02,0.04,0.61,0.07,0.85,0.17,0.46,0.15,0.67,0.32,0.28,0.4,0.38,0.43,0.83,0.87,0.93,0.7,0.78,0.78,0,0.04,0,0.35,0.39,0.44,0.44,0.05,0.04,0.05,0.04,0.95,0.03,0.09,0.1,0.45,0.54,0.23,0.73,0.04,0.37,0.5,0.01,0.91,0.67,0.05,0.15,0.71,0.01,0,0.19,0.18,0.17,0.46,0.39,0.38,0.4,0.25,0.26,0.25,0,0,0.05,0.71,0.4,0.6,0.63,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.03,0.18,0.08,?,?,?,?,0,?,0.01
"Forest Grove, Oregon",41,?,?,ForestGrovecity,45.5198364,-123.1106631,3,0.01,0.48,0.01,0.86,0.17,0.18,0.53,0.57,0.45,0.43,0.02,1,0.21,0.49,0.12,0.45,0.52,0.26,0.5,0.26,0.19,0.2,0.28,0.11,0.17,0.14,0.18,0.02,0.41,0.34,0.41,0.32,0.38,0.42,0.63,0.49,0.59,0.34,0.48,0.46,0.49,0.51,0.52,0.66,0.64,0.75,0.64,0.46,0.52,0,0.07,0.01,0.62,0.6,0.61,0.68,0.27,0.23,0.22,0.22,0.83,0.16,0.38,0.32,0.44,0.51,0.41,0.4,0.24,0.55,0,0.01,0.91,0.39,0.34,0.45,0.65,0.31,0.28,0.14,0.12,0.11,0.24,0.25,0.26,0.22,0.54,0.29,0.31,0,0,0.19,0.42,0.36,0.52,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.01,0.27,0.12,?,?,?,?,0,?,0.05
"Carson, California",6,?,?,Carsoncity,33.8314058,-118.2820165,3,0.12,0.9,0.51,0,1,0.52,0.5,0.55,0.39,0.24,0.13,1,0.53,0.77,0.16,0.34,0.34,0.44,0.52,0.49,0.29,0.32,0.41,0.25,0.29,0.29,0.35,0.05,0.17,0.44,0.5,0.26,0.46,0.57,0.64,0.32,0.5,0.3,0.43,0.53,0.5,0.48,1,0.66,0.53,0.73,0.69,0.64,0.6,0.06,0.31,0.15,0.26,0.33,0.42,0.48,0.5,0.55,0.64,0.67,0.27,0.45,1,1,0.97,0.91,1,0.74,0.95,0.47,0.5,0.03,0.93,0.77,0.25,0.25,0.54,0.12,0.24,0.5,0.49,0.46,0.58,0.64,0.79,0.65,0.59,0.57,0.15,0,0,0.8,0.41,0.68,0.88,0.79,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.05,0.37,0.14,?,?,?,?,0,?,0.52
"Stamford, Connecticut",9,1,73070,Stamfordtown,41.0534302,-73.5387341,3,0.16,0.4,0.35,0.64,0.16,0.18,0.26,0.46,0.26,0.42,0.17,1,0.63,0.66,0.19,0.65,0.42,0.25,0.42,0.64,0.76,0.86,0.35,0.25,0.69,0.33,0.47,0.06,0.15,0.24,0.31,0.57,0.29,0.63,0.4,0.36,0.21,0.62,0.38,0.54,0.44,0.43,0.46,0.58,0.57,0.63,0.58,0.48,0.51,0.1,0.52,0.13,0.41,0.47,0.5,0.51,0.54,0.54,0.52,0.49,0.61,0.25,0.3,0.26,0.42,0.45,0.41,0.49,0.22,0.58,0,0.12,0.8,0.48,0.1,0.34,0.46,0.1,0.27,0.75,0.81,0.91,0.58,0.72,0.91,0.74,0.5,0.55,0.64,0.08,0.04,0.55,0.39,0.59,0.69,0.47,0.05,0.27,0.94,0.29,0.04,0.15,0.18,0.27,0.73,0.81,0.1,0.19,0,0.2,0.05,0.5,0.17,0.11,0.24,0.63,0.11,0.04,0.55,0,0.45,0.19,0.21
"East Windsor, New Jersey",34,21,19780,EastWindsortownship,40.2676347,-74.5403476,3,0.02,0.42,0.13,0.8,0.33,0.1,0.38,0.48,0.28,0.19,0,0,0.63,0.83,0.36,0.65,0.22,0.09,0.24,0.65,0.55,0.55,0.44,0.19,0.44,0.52,0.5,0.01,0.06,0.1,0.13,0.74,0.16,0.76,0.4,0.57,0.18,0.75,0.34,0.39,0.44,0.41,0.49,0.8,0.82,0.86,0.77,0.31,0.48,0.01,0.15,0.02,0.3,0.45,0.51,0.49,0.22,0.29,0.3,0.26,0.78,0.08,0.16,0.15,0.46,0.55,0.32,0.61,0.11,0.61,0,0.03,0.79,0.56,0.03,0.54,0.69,0.03,0.05,0.39,0.37,0.37,0.65,0.62,0.71,0.6,0.43,0.56,0.42,0.01,0,0.31,0.36,0.57,0.41,0.48,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.04,0.12,0.53,?,?,?,?,0,?,0.04
"Kinston, North Carolina",37,?,?,Kinstoncity,35.2626635,-77.5816353,3,0.02,0.37,1,0.11,0.02,0.01,0.45,0.42,0.26,0.56,0,0,0.11,0.36,0.26,0.25,0.65,0.74,0.52,0.16,0.18,0.36,0.16,0.13,0.67,0.61,0.26,0.05,0.67,0.66,0.68,0.23,0.53,0.28,0.66,0.56,0.69,0.36,0.59,0.56,0.73,0.71,0.44,0.12,0.15,0.24,0.1,0.73,0.75,0.04,0.65,0,0.05,0.09,0.24,0.39,0,0.01,0.01,0.02,0.97,0,0.27,0.23,0.36,0.34,0.41,0.38,0.17,0.51,0.5,0.04,0.69,0.41,0.23,0.35,0.44,0.81,0.94,0.07,0.08,0.11,0.03,0.07,0.09,0.11,0.58,0.47,0.83,0.01,0,0.02,0.9,0.63,0.8,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.04,0.16,0.02,?,?,?,?,0,?,0.55
"Sanford, Maine",23,31,65760,Sanfordtown,43.4392489,-70.7742246,3,0.02,0.45,0,0.97,0.11,0.01,0.39,0.46,0.26,0.42,0,0,0.27,0.55,0.39,0.43,0.52,0.37,0.42,0.28,0.24,0.22,0.09,0.3,0.21,0.29,0.53,0.02,0.27,0.44,0.47,0.17,0.45,0.51,0.85,0.3,0.73,0.24,0.48,0.31,0.51,0.52,0.48,0.61,0.66,0.64,0.66,0.52,0.62,0.01,0.19,0.01,0.14,0.18,0.19,0.31,0.05,0.06,0.06,0.08,0.68,0.09,0.21,0.21,0.47,0.53,0.39,0.59,0.09,0.52,0.5,0.03,0.68,0.56,0.1,0.56,0.44,0.25,0.18,0.23,0.2,0.2,0.32,0.35,0.36,0.32,0.62,0.65,0.51,0.01,0,0.15,0.64,0.56,0.72,0.59,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.14,0.03,0.04,?,?,?,?,0,?,0.01
"Wichita, Kansas",20,173,79000,Wichitacity,37.6922361,-97.3375448,3,0.47,0.34,0.22,0.73,0.16,0.09,0.37,0.5,0.3,0.39,0.48,1,0.27,0.59,0.37,0.45,0.43,0.29,0.4,0.31,0.32,0.35,0.22,0.14,0.22,0.26,0.33,0.34,0.32,0.19,0.3,0.36,0.35,0.59,0.59,0.39,0.36,0.43,0.64,0.39,0.63,0.66,0.44,0.56,0.58,0.61,0.52,0.58,0.58,0.19,0.3,0.08,0.43,0.48,0.54,0.63,0.12,0.12,0.12,0.13,0.89,0.08,0.23,0.2,0.36,0.42,0.3,0.53,0.18,0.62,0,0.63,0.64,0.5,0.3,0.41,0.4,0.31,0.16,0.09,0.09,0.1,0.19,0.22,0.25,0.25,0.44,0.36,0.36,0.12,0,0.12,0.62,0.45,0.69,0.65,0.08,0.11,0.91,0.14,0.18,0.21,0.57,0.11,0.78,0.88,0.12,0.07,0,0.13,0.05,0.36,0.24,0.33,0.22,0.06,0.17,0.09,0.77,0.5,0.32,0.11,0.36
"Monterey, California",6,?,?,Montereycity,36.6002378,-121.8946761,3,0.04,0.37,0.06,0.8,0.45,0.14,0.39,0.64,0.45,0.4,0.05,1,0.38,0.63,0.24,0.6,0.35,0.17,0.42,0.4,0.45,0.45,0.32,0.27,0.31,0.4,0.45,0.02,0.16,0.16,0.17,0.65,0.07,0.71,0.12,0.56,0.17,0.59,0.56,0.61,0.64,0.62,0.31,0.7,0.72,0.88,0.58,0.26,0.32,0.01,0.11,0.03,0.62,0.62,0.59,0.56,0.64,0.56,0.48,0.42,0.66,0.17,0.14,0.11,0.27,0.29,0.31,0.17,0.19,0.75,0,0.04,0.77,0.19,0.05,0.1,0.54,0.06,0.04,0.67,0.72,0.78,0.68,0.65,0.77,0.64,0.63,0.8,0.17,0,0.02,0.44,0.3,0.2,0.16,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.02,0.32,0.15,?,?,?,?,0,?,0.36
"Belmont, California",6,?,?,Belmontcity,37.5202145,-122.2758008,3,0.02,0.3,0.03,0.8,0.61,0.13,0.24,0.42,0.25,0.37,0.04,1,0.65,0.7,0.17,0.68,0.3,0.14,0.41,0.73,0.71,0.69,0.55,0.33,0.61,0.56,0.59,0.01,0.11,0.07,0.12,0.6,0.16,0.75,0.32,0.4,0.17,0.61,0.48,0.48,0.54,0.53,0.31,0.77,0.76,0.76,0.61,0.75,0.65,0,0.1,0.03,0.31,0.3,0.32,0.33,0.35,0.3,0.29,0.28,0.67,0.11,0.08,0.08,0.31,0.43,0.19,0.56,0.15,0.51,0.5,0.01,0.95,0.49,0.14,0.34,0.48,0.04,0.03,1,1,1,0.77,0.7,0.86,0.67,0.56,0.69,0.29,0,0,0.49,0.5,0.55,0.64,0.72,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.01,0.45,0.26,?,?,?,?,0,?,0.07
"Asbury Park, New Jersey",34,25,1960,AsburyParkcity,40.2203907,-74.0120817,3,0.01,0.33,1,0.01,0.04,0.17,0.35,0.48,0.29,0.51,0.03,1,0.15,0.39,0.1,0.25,0.61,0.73,0.39,0.17,0.21,0.37,0.22,0.14,0.23,0.25,0.26,0.03,0.62,0.38,0.54,0.2,0.82,0.42,0.34,0.49,0.58,0.26,0.89,0.78,0.8,0.88,0.6,0,0,0,0,0.43,0.59,0.06,1,0.01,0.36,0.55,0.54,0.59,0.28,0.38,0.34,0.34,0.71,0.17,0.59,0.38,0.33,0.59,0.32,0.04,0.46,0.85,0,0.04,0.56,0.02,0.43,0.31,0.33,0.58,0.13,0.23,0.23,0.24,0.37,0.46,0.51,0.43,0.81,0.87,0.76,0.02,0,0.33,0.53,0.47,0.74,0.68,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.98,0.48,?,?,?,?,0,?,0.85
"Plainfield, Indiana",18,?,?,Plainfieldtown,39.7042123,-86.3994387,3,0,0.36,0.01,0.99,0.02,0.01,0.32,0.42,0.25,0.49,0,0,0.38,0.59,0.64,0.53,0.48,0.13,0.56,0.39,0.35,0.33,0.44,0.16,0.23,0,0.32,0,0.11,0.11,0.25,0.29,0.09,0.63,0.29,0.39,0.36,0.42,0.43,0.21,0.5,0.49,0.37,0.72,0.76,0.85,0.61,0.63,0.71,0,0.05,0,0.62,0.46,0.38,0.32,0.03,0.02,0.02,0.01,0.98,0.03,0.09,0.09,0.38,0.45,0.27,0.65,0.04,0.46,0.5,0.01,0.89,0.6,0,0.34,0.56,0.22,0.36,0.14,0.13,0.13,0.25,0.29,0.31,0.32,0.27,0.2,0.21,0,0,0.02,0.73,0.49,0.5,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.01,0.23,0.01,?,?,?,?,0,?,0.08
"West Orange, New Jersey",34,13,79800,WestOrangetownship,40.7987113,-74.2390353,3,0.05,0.43,0.11,0.82,0.34,0.08,0.25,0.36,0.21,0.61,0.06,1,0.63,0.57,0.24,0.67,0.58,0.15,0.5,0.66,0.7,0.71,0.55,0.21,0.37,0.5,0.45,0.01,0.1,0.22,0.27,0.61,0.21,0.53,0.26,0.52,0.16,0.64,0.2,0.43,0.27,0.25,0.48,0.82,0.82,0.91,0.71,0.39,0.45,0.01,0.09,0.04,0.29,0.34,0.38,0.42,0.33,0.34,0.34,0.34,0.68,0.22,0.23,0.22,0.45,0.54,0.26,0.69,0.08,0.4,0.5,0.02,0.92,0.63,0.11,0.56,0.29,0.03,0.11,0.54,0.53,0.53,0.53,0.6,0.7,0.62,0.56,0.54,0.64,0.01,0,0.47,0.61,0.77,0.74,0.72,0.01,0.23,0.98,0.29,0.01,0.14,0.2,0.23,0.73,1,0,0,0,0,0.01,0.5,0.16,0.03,0.27,0.43,0.01,0.02,0.85,1,0.43,0.25,0.12
"Florence, Alabama",1,?,?,Florencecity,34.79981,-87.677251,3,0.04,0.33,0.33,0.73,0.02,0.01,0.47,0.5,0.42,0.54,0.06,1,0.16,0.37,0.38,0.4,0.61,0.38,0.59,0.22,0.23,0.25,0.19,0.11,0.47,0.24,0.25,0.06,0.49,0.47,0.52,0.36,0.44,0.33,0.46,0.45,0.51,0.42,0.44,0.37,0.5,0.5,0.36,0.53,0.53,0.63,0.53,0.62,0.47,0.03,0.31,0,0.45,0.53,0.51,0.44,0.02,0.02,0.02,0.01,0.98,0.02,0.12,0.11,0.32,0.36,0.29,0.54,0.07,0.46,0.5,0.05,0.76,0.52,0.13,0.46,0.48,0.38,0.23,0.07,0.08,0.1,0.08,0.13,0.14,0.14,0.48,0.22,0.35,0.02,0,0.01,0.76,0.54,0.68,0.69,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.07,0.13,0,?,?,?,?,0,?,0.25
"Los Angeles, California",6,?,?,LosAngelescity,34.0522342,-118.2436849,3,1,0.55,0.27,0.28,0.6,0.74,0.43,0.6,0.41,0.3,1,1,0.32,0.57,0.2,0.36,0.32,0.52,0.27,0.3,0.38,0.57,0.29,0.22,0.32,0.2,0.25,1,0.5,0.63,0.58,0.36,0.55,0.5,0.41,0.36,0.46,0.42,0.51,0.73,0.61,0.58,0.74,0.44,0.43,0.53,0.46,0.38,0.31,1,0.76,1,0.49,0.56,0.61,0.68,1,1,1,1,0.12,1,0.83,0.65,0.57,0.57,0.6,0.21,1,0.82,0,1,0.75,0.24,0.22,0.24,0.42,0.25,0.56,0.53,0.66,0.85,0.48,0.51,0.64,0.5,0.73,0.71,0.25,1,1,1,0.31,0.45,0.72,0.57,1,0.23,0,0.28,1,0.3,0.45,0.23,0.78,0.4,0.34,0.55,0.52,0.66,1,0.86,0.21,1,0.62,0.61,1,1,0.83,0.5,0.5,0.19,1
"Minot, North Dakota",38,101,53380,Minotcity,48.2325095,-101.2962732,3,0.04,0.34,0.02,0.94,0.04,0.01,0.49,0.55,0.39,0.44,0,0,0.2,0.54,1,0.51,0.5,0.28,0.35,0.25,0.23,0.23,0.23,0.06,0.23,0.29,0.33,0.04,0.37,0.34,0.31,0.33,0.34,0.52,0.07,0.56,0.32,0.39,0.38,0.44,0.38,0.39,0.42,0.64,0.7,0.63,0.52,0.68,0.65,0.01,0.15,0,0.66,0.52,0.45,0.41,0.1,0.07,0.06,0.05,0.92,0.03,0.12,0.11,0.34,0.47,0.19,0.59,0.07,0.56,0,0.06,0.72,0.52,0.09,0.53,0.54,0.12,0.1,0.1,0.09,0.09,0.16,0.19,0.21,0.16,0.44,0.43,0.37,0.02,0,0.06,0.74,0.51,0.59,0.66,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.04,0.22,0.02,?,?,?,?,0,?,0.04
"Cleveland, Tennessee",47,?,?,Clevelandcity,35.1595182,-84.8766115,3,0.03,0.37,0.14,0.88,0.03,0.02,0.49,0.54,0.42,0.48,0,0,0.19,0.5,0.23,0.35,0.52,0.41,0.38,0.22,0.24,0.24,0.2,0.12,0.25,0.31,0.4,0.05,0.46,0.64,0.59,0.26,0.33,0.44,0.78,0.38,0.69,0.38,0.56,0.34,0.57,0.59,0.36,0.59,0.58,0.59,0.62,0.52,0.55,0.02,0.25,0,0.41,0.4,0.45,0.44,0.04,0.04,0.04,0.03,0.96,0.05,0.12,0.12,0.35,0.4,0.33,0.46,0.1,0.54,0.5,0.05,0.67,0.45,0.02,0.23,0.63,0.52,0.21,0.09,0.1,0.12,0.12,0.15,0.16,0.16,0.4,0.37,0.39,0,0,0.04,0.64,0.47,0.63,0.55,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.06,0.13,0,?,?,?,?,0,?,0.36
"Lakewood, California",6,?,?,Lakewoodcity,33.8536269,-118.1339563,3,0.1,0.53,0.07,0.72,0.57,0.27,0.35,0.43,0.25,0.41,0.12,1,0.54,0.63,0.15,0.54,0.46,0.26,0.61,0.51,0.42,0.42,0.43,0.24,0.34,0.44,0.48,0.03,0.12,0.18,0.31,0.27,0.23,0.59,0.59,0.27,0.32,0.42,0.45,0.38,0.49,0.49,0.53,0.72,0.68,0.85,0.66,0.5,0.52,0.02,0.15,0.06,0.27,0.33,0.45,0.52,0.24,0.26,0.32,0.35,0.68,0.17,0.33,0.33,0.58,0.53,0.66,0.65,0.32,0.4,0.5,0.04,0.93,0.67,0.04,0.13,0.35,0.05,0.1,0.61,0.57,0.5,0.73,0.74,0.88,0.75,0.51,0.58,0.14,0,0,0.38,0.51,0.68,0.83,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.02,0.65,0.07,?,?,?,?,0,?,0.41
"Corpus Christi, Texas",48,?,?,CorpusChristicity,27.8005828,-97.396381,3,0.4,0.56,0.09,0.64,0.06,0.94,0.48,0.52,0.32,0.31,0.41,1,0.23,0.58,0.36,0.33,0.39,0.42,0.41,0.24,0.23,0.25,0.2,0.22,0.29,0.24,0.27,0.46,0.53,0.52,0.5,0.27,0.54,0.45,0.19,0.45,0.31,0.37,0.6,0.39,0.63,0.64,0.66,0.58,0.54,0.6,0.56,0.4,0.38,0.13,0.22,0.09,0.17,0.21,0.27,0.37,0.06,0.07,0.08,0.1,0.27,0.35,0.46,0.43,0.59,0.63,0.54,0.48,0.43,0.56,0,0.57,0.55,0.47,0.57,0.5,0.6,0.55,0.43,0.09,0.09,0.1,0.2,0.22,0.26,0.22,0.45,0.46,0.35,0.06,0.03,0.15,0.77,0.51,0.73,0.79,0.07,0.11,0.92,0.14,0.1,0.13,0.36,0.11,1,0.27,0.1,1,0.15,0.81,0.08,0.57,0.36,0.39,0.16,0.1,0.21,0.07,0.78,1,0.64,0.09,0.33
